id,pokedex_no,P_name,forme,hidden_ability,description1,description2,class,percent_female,pre-evolution
625,625,Bisharp,Bisharp,Pressure,,,Sword Blade Pokémon,0.5,Pawniard
626,626,Bouffalant,Bouffalant,Soundproof,,,Bash Buffalo Pokémon,0.5,
627,627,Rufflet,Rufflet,Hustle,They pick fights indiscriminately. They grow stronger and more powerful each time they faint or are injured.,"With its sharp claws, this Pokémon pierces its prey, and then it pecks at them. Although it also consumes berries, it’s a carnivore at heart.",Eaglet Pokémon,0.0,
628,628,Braviary,Braviary,Defiant,"With its brave disposition, it fears nothing—not even death. Ancient Alolan people respected it, referring to it as “the hero of the sky.”","It’s thought that people disturbed their habitats in the past, so Braviary banded together to fight back.",Valiant Pokémon,0.0,Rufflet
629,629,Vullaby,Vullaby,Weak Armor,"It protects its plump posterior with the bones of prey it has consumed. As it grows, it replaces the bones.","It can’t fly yet and must wait until its wings have developed more. Since it’s still at a playful age, it hops around friskily.",Diapered Pokémon,1.0,
630,630,Mandibuzz,Mandibuzz,Weak Armor,"They adorn themselves beautifully with bones. This is supposedly an effort to attract males, but no male Mandibuzz have ever been found.","It circles in the sky, keeping a keen eye out for Pokémon in a weakened state. Its choicest food is Cubone.",Bone Vulture Pokémon,1.0,Vullaby
631,631,Heatmor,Heatmor,White Smoke,,,Anteater Pokémon,0.5,
632,632,Durant,Durant,Truant,,,Iron Ant Pokémon,0.5,
633,633,Deino,Deino,,,,Irate Pokémon,0.5,
634,634,Zweilous,Zweilous,,,,Hostile Pokémon,0.5,Deino
635,635,Hydreigon,Hydreigon,,,,Brutal Pokémon,0.5,Zweilous
636,636,Larvesta,Larvesta,Swarm,,,Torch Pokémon,0.5,
637,637,Volcarona,Volcarona,Swarm,,,Sun Pokémon,0.5,Larvesta
638,638,Cobalion,Cobalion,,,,Iron Will Pokémon,,
639,639,Terrakion,Terrakion,,,,Cavern Pokémon,,
640,640,Virizion,Virizion,,,,Grassland Pokémon,,
641,641,Tornadus,Tornadus (Incarnate Forme),Defiant,,,Cyclone Pokémon,0.0,
642,642,Thundurus,Thundurus (Incarnate Forme),Defiant,,,Bolt Strike Pokémon,0.0,
643,643,Reshiram,Reshiram,,,,Vast White Pokémon,,
644,644,Zekrom,Zekrom,,,,Deep Black Pokémon,,
645,645,Landorus,Landorus (Incarnate Forme),Sheer Force,,,Abundance Pokémon,0.0,
646,646,Kyurem,Kyurem (Kyurem),,,,Boundary Pokémon,,
647,647,Keldeo,Keldeo (Ordinary Form),,,,Colt Pokémon,,
648,648,Meloetta,Meloetta (Aria Forme),,,,Melody Pokémon,,
649,649,Genesect,Genesect (Genesect),,,,Paleozoic Pokémon,,
650,650,Chespin,Chespin,Bulletproof,,,Spiny Nut Pokémon,0.125,
651,651,Quilladin,Quilladin,Bulletproof,,,Spiny Armor Pokémon,0.125,Chespin
652,652,Chesnaught,Chesnaught,Bulletproof,,,Spiny Armor Pokémon,0.125,Quilladin
653,653,Fennekin,Fennekin,Magician,,,Fox Pokémon,0.125,
654,654,Braixen,Braixen,Magician,,,Fox Pokémon,0.125,Fennekin
655,655,Delphox,Delphox,Magician,,,Fox Pokémon,0.125,Braixen
656,656,Froakie,Froakie,Protean,,,Bubble Frog Pokémon,0.125,
657,657,Frogadier,Frogadier,Protean,,,Bubble Frog Pokémon,0.125,Froakie
658,658,Greninja,Greninja,Protean,,,Ninja Pokémon,0.125,Frogadier
659,659,Bunnelby,Bunnelby,Huge Power,,,Digging Pokémon,0.5,
660,660,Diggersby,Diggersby,Huge Power,,,Digging Pokémon,0.5,Bunnelby
661,661,Fletchling,Fletchling,Gale Wings,"This amiable Pokémon is easy to train. But when battle is joined, it shows its ferocious side.","When it’s excited, its temperature can double, spiking hormone production in its body.",Tiny Robin Pokémon,0.5,
662,662,Fletchinder,Fletchinder,Gale Wings,"From its beak, it fires embers at its prey. Once it has caught them, it grills them at high heat before feasting upon them.","It will not tolerate other Fletchinder entering its territory, which has a radius of several miles.",Ember Pokémon,0.5,Fletchling
663,663,Talonflame,Talonflame,Gale Wings,Its favorite foods are Wingull and Pikipek. It attacks with a powerful kick and grasps them firmly in its talons.,"It zooms directly at its prey at flight speeds of close to 310 mph, while fiery embers scatter from gaps in its feathers.",Scorching Pokémon,0.5,Fletchinder
664,664,Scatterbug,Scatterbug,Friend Guard,,,Scatterdust Pokémon,0.5,
665,665,Spewpa,Spewpa,Friend Guard,,,Scatterdust Pokémon,0.5,Scatterbug
666,666,Vivillon,Vivillon (Icy Snow Pattern),Friend Guard,,,Scale Pokémon,0.5,Spewpa
667,667,Litleo,Litleo,Moxie,,,Lion Cub Pokémon,0.25,
668,668,Pyroar,Pyroar,Moxie,,,Royal Pokémon,0.25,Litleo
669,669,Flabébé,Flabébé (Red Flower),Symbiosis,,,Single Bloom Pokémon,1.0,
670,670,Floette,Floette (Red Flower),Symbiosis,,,Single Bloom Pokémon,1.0,Flabébé
671,671,Florges,Florges (Red Flower),Symbiosis,,,Garden Pokémon,1.0,Floette
672,672,Skiddo,Skiddo,Grass Pelt,,,Mount Pokémon,0.5,
673,673,Gogoat,Gogoat,Grass Pelt,,,Mount Pokémon,0.5,Skiddo
674,674,Pancham,Pancham,Scrappy,"It grows up imitating the behavior of Pangoro, which it looks up to as a leader.","There’s no point to the leaf in its mouth, aside from an effort to look cool. It’s mischievous, so it’s not well suited to inexperienced Trainers.",Playful Pokémon,0.5,
675,675,Pangoro,Pangoro,Scrappy,It boasts superb physical strength. Those who wish to become Pangoro’s Trainer have no choice but to converse with their fists.,"From the slight twitches of its bamboo leaf, it deduces its opponent’s movements. It’s eager to tussle but kindhearted toward its companions.",Daunting Pokémon,0.5,Pancham
676,676,Furfrou,Furfrou (Natural Form),,,,Poodle Pokémon,0.5,
677,677,Espurr,Espurr,Own Tempo,,,Restraint Pokémon,0.5,
678,678,Meowstic,Meowstic (Male),Prankster,,,Constraint Pokémon,0.0,Espurr
679,679,Honedge,Honedge,,,,Sword Pokémon,0.5,
680,680,Doublade,Doublade,,,,Sword Pokémon,0.5,Honedge
681,681,Aegislash,Aegislash (Shield Forme),,,,Royal Sword Pokémon,0.5,Doublade
682,682,Spritzee,Spritzee,Aroma Veil,,,Perfume Pokémon,0.5,
683,683,Aromatisse,Aromatisse,Aroma Veil,,,Fragrance Pokémon,0.5,Spritzee
684,684,Swirlix,Swirlix,Unburden,,,Cotton Candy Pokémon,0.5,
685,685,Slurpuff,Slurpuff,Unburden,,,Meringue Pokémon,0.5,Swirlix
686,686,Inkay,Inkay,Infiltrator,,,Revolving Pokémon,0.5,
687,687,Malamar,Malamar,Infiltrator,,,Overturning Pokémon,0.5,Inkay
688,688,Binacle,Binacle,Pickpocket,,,Two-Handed Pokémon,0.5,
689,689,Barbaracle,Barbaracle,Pickpocket,,,Collective Pokémon,0.5,Binacle
690,690,Skrelp,Skrelp,Adaptability,,,Mock Kelp Pokémon,0.5,
691,691,Dragalge,Dragalge,Adaptability,,,Mock Kelp Pokémon,0.5,Skrelp
692,692,Clauncher,Clauncher,,,,Water Gun Pokémon,0.5,
693,693,Clawitzer,Clawitzer,,,,Howitzer Pokémon,0.5,Clauncher
694,694,Helioptile,Helioptile,Solar Power,,,Generator Pokémon,0.5,
695,695,Heliolisk,Heliolisk,Solar Power,,,Generator Pokémon,0.5,Helioptile
696,696,Tyrunt,Tyrunt,Sturdy,,,Royal Heir Pokémon,0.125,
697,697,Tyrantrum,Tyrantrum,Rock Head,,,Despot Pokémon,0.125,Tyrunt
698,698,Amaura,Amaura,Snow Warning,,,Tundra Pokémon,0.125,
699,699,Aurorus,Aurorus,Snow Warning,,,Tundra Pokémon,0.125,Amaura
700,700,Sylveon,Sylveon,Pixilate,"Its ribbonlike feelers give off an aura that weakens hostility in its prey, causing them to let down their guard. Then it attacks.","When this Pokémon sights its prey, it swirls its ribbonlike feelers as a distraction. A moment later, it pounces.",Intertwining Pokémon,0.125,Eevee
701,701,Hawlucha,Hawlucha,Mold Breaker,,,Wrestling Pokémon,0.5,
702,702,Dedenne,Dedenne,Plus,,,Antenna Pokémon,0.5,
703,703,Carbink,Carbink,Sturdy,"Born from the high temperatures and pressures deep underground, it defends itself by firing beams from the jewel part of its body.","Although this Pokémon is not especially rare, its glittering, jewel-draped body draws attention from people.",Jewel Pokémon,,
704,704,Goomy,Goomy,Gooey,"The weakest of all Dragon-type Pokémon, it’s unable to breathe if its skin dries out, so it sticks to shady places.","Its source of protection is its slimy, germ-laden mucous membrane. Anyone who touches it needs some thorough hand-washing.",Soft Tissue Pokémon,0.5,
705,705,Sliggoo,Sliggoo,Gooey,It has trouble drawing a line between friends and food. It will calmly try to melt and eat even those it gets along well with.,"This Pokémon’s mucous can dissolve anything. Toothless, it sprays mucous on its prey. Once they’re nicely dissolved, it slurps them up.",Soft Tissue Pokémon,0.5,Goomy
706,706,Goodra,Goodra,Gooey,"An amazingly friendly Pokémon, but if left to itself, loneliness overcomes it, and it oozes gooey tears.","It gets picked on because it’s meek. But then, whoever teased it gets to feel the full force of its horns and a good swatting from its thick tail.",Dragon Pokémon,0.5,Sliggoo
707,707,Klefki,Klefki,Magician,This even-tempered Pokémon has a habit of collecting keys. It will sneak into people’s homes to steal their keys.,"It inserts its horn into chinks in metal, absorbing metal ions. For some reason, it collects keys.",Key Ring Pokémon,0.5,
708,708,Phantump,Phantump,Harvest,These Pokémon are stumps possessed by the spirits of children who died in the forest. Their cries sound like eerie screams.,"According to legend, medicine to cure any illness can be made by plucking the green leaves on its head, brewing them, and boiling down the liquid.",Stump Pokémon,0.5,
709,709,Trevenant,Trevenant,Harvest,"This Pokémon is said to devour anyone daring to ravage the forest. To the creatures dwelling in the forest, it offers great kindness.","Through its roots, it exerts control over other trees. A deadly curse falls upon anyone cutting down trees in forests where Trevenant dwell.",Elder Tree Pokémon,0.5,Phantump
710,710,Pumpkaboo,Pumpkaboo (Average Size),Insomnia,,,Pumpkin Pokémon,0.5,
711,711,Gourgeist,Gourgeist (Average Size),Insomnia,,,Pumpkin Pokémon,0.5,Pumpkaboo (Average Size)
712,712,Bergmite,Bergmite,Sturdy,,,Ice Chunk Pokémon,0.5,
713,713,Avalugg,Avalugg,Sturdy,,,Iceberg Pokémon,0.5,Bergmite
714,714,Noibat,Noibat,Telepathy,,,Sound Wave Pokémon,0.5,
715,715,Noivern,Noivern,Telepathy,,,Sound Wave Pokémon,0.5,Noibat
716,716,Xerneas,Xerneas (Neutral Mode),,,,Life Pokémon,,
717,717,Yveltal,Yveltal,,,,Destruction Pokémon,,
718,718,Zygarde,Zygarde (50% Forme),,"This is Zygarde’s form when it has gathered 50% of its cells. It wipes out all those who oppose it, showing not a shred of mercy.",It’s thought to be monitoring the ecosystem. There are rumors that even greater power lies hidden within it.,Order Pokémon,,
719,719,Diancie,Diancie,,,,Jewel Pokémon,,
720,720,Hoopa,Hoopa (Hoopa Confined),,,,Mischief Pokémon,,
721,721,Volcanion,Volcanion,,,,Steam Pokémon,,
722,722,Rowlet,Rowlet,Long Reach,"This wary Pokémon uses photosynthesis to store up energy during the day, while becoming active at night.","Silently it glides, drawing near its targets. Before they even notice it, it begins to pelt them with vicious kicks.",Grass Quill Pokémon,0.125,
723,723,Dartrix,Dartrix,Long Reach,"A bit of a dandy, it spends its free time preening its wings. Its preoccupation with any dirt on its plumage can leave it unable to battle.",It throws sharp feathers called blade quills at enemies or prey. It seldom misses.,Blade Quill Pokémon,0.125,Rowlet
724,724,Decidueye,Decidueye,Long Reach,"It fires arrow quills from its wings with such precision, they can pierce a pebble at distances over a hundred yards.","Although basically cool and cautious, when it’s caught by surprise, it’s seized by panic.",Arrow Quill Pokémon,0.125,Dartrix
725,725,Litten,Litten,Intimidate,"While grooming itself, it builds up fur inside its stomach. It sets the fur alight and spews fiery attacks, which change based on how it coughs.",It doesn’t allow its emotions to be easily seen. Earning its trust takes time. It prefers solitude.,Fire Cat Pokémon,0.125,
726,726,Torracat,Torracat,Intimidate,"At its throat, it bears a bell of fire. The bell rings brightly whenever this Pokémon spits fire.","It boasts powerful front legs. With a single punch, it can bend an iron bar right over.",Fire Cat Pokémon,0.125,Litten
727,727,Incineroar,Incineroar,Intimidate,"This Pokémon has a violent, selfish disposition. If it’s not in the mood to listen, it will ignore its Trainer’s orders with complete nonchalance.","After hurling ferocious punches and flinging furious kicks, it finishes opponents off by spewing fire from around its navel.",Heel Pokémon,0.125,Torracat
728,728,Popplio,Popplio,Liquid Voice,"This Pokémon snorts body fluids from its nose, blowing balloons to smash into its foes. It’s famous for being a hard worker.",This Pokémon can control water bubbles. It practices diligently so it can learn to make big bubbles.,Sea Lion Pokémon,0.125,
729,729,Brionne,Brionne,Liquid Voice,"A skillful dancer, it creates a sequence of water balloons as it dances, and briskly bombards its enemies.","It cares deeply for its companions. When its Trainer is feeling down, it performs a cheery dance to try and help.",Pop Star Pokémon,0.125,Popplio
730,730,Primarina,Primarina,Liquid Voice,It controls its water balloons with song. The melody is learned from others of its kind and is passed down from one generation to the next.,Its singing voice is its chief weapon in battle. This Pokémon’s Trainer must prioritize the daily maintenance of its throat at all costs.,Soloist Pokémon,0.125,Brionne
731,731,Pikipek,Pikipek,Pickup,It can peck at a rate of 16 times a second to drill holes in trees. It uses the holes for food storage and for nesting.,"This Pokémon feeds on berries, whose leftover seeds become the ammunition for the attacks it fires off from its mouth.",Woodpecker Pokémon,0.5,
732,732,Trumbeak,Trumbeak,Pickup,"It eats berries and stores their seeds in its beak. When it encounters enemies or prey, it fires off all the seeds in a burst.","By bending its beak, it can produce a variety of calls and brand itself a noisy nuisance for its neighbors.",Bugle Beak Pokémon,0.5,Pipipek
733,733,Toucannon,Toucannon,Sheer Force,"When it battles, its beak heats up. The temperature can easily exceed 212 degrees Fahrenheit, causing severe burns when it hits.","Within its beak, its internal gas ignites, explosively launching seeds with enough power to pulverize boulders.",Cannon Pokémon,0.5,Trumbeak
734,734,Yungoos,Yungoos,Adaptability,"With its sharp fangs, it will bite anything. It did not originally live in Alola but was imported from another region.","It wanders around in a never-ending search for food. At dusk, it collapses from exhaustion and falls asleep on the spot.",Loitering Pokémon,0.5,
735,735,Gumshoos,Gumshoos,Adaptability,"When it finds a trace of its prey, it patiently stakes out the location...but it’s always snoozing by nightfall.","It adores having Rattata and Raticate for dinner, but as it’s diurnal, it never encounters them. This Pokémon boasts incredible patience.",Stakeout Pokémon,0.5,Yungoos
736,736,Grubbin,Grubbin,Swarm,Its strong jaw enables it to scrape trees and slurp out the sap. It normally lives underground.,They often gather near places frequented by electric Pokémon in order to avoid being attacked by bird Pokémon.,Larva Pokémon,0.5,
737,737,Charjabug,Charjabug,Battery,"Its body is capable of storing electricity. On camping trips, people are grateful to have one around.","From the food it digests, it generates electricity, and it stores this energy in its electric sac.",Battery Pokémon,0.5,Grubbin
738,738,Vikavolt,Vikavolt,Levitate,"It zips around, on sharp lookout for an opening. It concentrates electrical energy within its large jaws and uses it to zap its enemies.",It produces electricity via an electrical organ in its abdomen. It overwhelms bird Pokémon with shocking beams of electrical energy.,Stag Beetle Pokémon,0.5,Charjabug
739,739,Crabrawler,Crabrawler,Anger Point,"While guarding its weak points with its pincers, it looks for an opening and unleashes punches. When it loses, it foams at the mouth and faints.","It punches so much, its pincers often come off from overuse, but they grow back quickly. What little meat they contain is rich and delicious.",Boxing Pokémon,0.5,
740,740,Crabominable,Crabominable,Anger Point,"It aimed for the top but got lost and ended up on a snowy mountain. Being forced to endure the cold, this Pokémon evolved and grew fur.","It just throws punches indiscriminately. In times of desperation, it can lop off its own pincers and fire them like rockets.",Woolly Crab Pokémon,0.5,Crabrawler
741,741,Oricorio,Oricorio (Baile Style),Dancer,"It beats its wings together to create fire. As it moves in the steps of its beautiful dance, it bathes opponents in intense flames.",This Oricorio has sipped red nectar. Its passionate dance moves cause its enemies to combust in both body and mind.,Dancing Pokémon,0.75,
742,742,Cutiefly,Cutiefly,Sweet Veil,"It feeds on the nectar and pollen of flowers. Because it’s able to sense auras, it can identify which flowers are about to bloom.",Myriads of Cutiefly flutter above the heads of people who have auras resembling those of flowers.,Bee Fly Pokémon,0.5,
743,743,Ribombee,Ribombee,Sweet Veil,"It rolls up pollen into puffs. It makes many different varieties, some used as food and others used in battle.",Some of Ribombee’s pollen puffs are highly nutritious. They are sometimes sold as supplements.,Bee Fly Pokémon,0.5,Cutiefly
744,744,Rockruff,Rockruff,Steadfast,"It’s considered to be a good Pokémon for beginners because of its friendliness, but its disposition grows rougher as it grows up.",This Pokémon has lived with people since times long ago. It can sense when its Trainer is in the dumps and will stick close by its Trainer’s side.,Puppy Pokémon,0.5,
745,745,Lycanroc,Lycanroc (Midday Form),Steadfast,"Its quick movements confuse its enemies. Well equipped with claws and fangs, it also uses the sharp rocks in its mane as weapons.","When properly raised from a young age, it will become a trustworthy partner that will absolutely never betray its Trainer.",Wolf Pokémon,0.5,Rockruff
746,746,Wishiwashi,Wishiwashi (Solo Form),Schooling,"When it’s in trouble, its eyes moisten and begin to shine. The shining light attracts its comrades, and they stand together against their enemies.","It’s awfully weak and notably tasty, so everyone is always out to get it. As it happens, anyone trying to bully it receives a painful lesson.",Small Fry Pokémon,0.5,
747,747,Mareanie,Mareanie,Regenerator,"It plunges the poison spike on its head into its prey. When the prey has weakened, Mareanie deals the finishing blow with its 10 tentacles.",It’s found crawling on beaches and seafloors. The coral that grows on Corsola’s head is as good as a five-star banquet to this Pokémon.,Brutal Star Pokémon,0.5,
748,748,Toxapex,Toxapex,Regenerator,Toxapex crawls along the ocean floor on its 12 legs. It leaves a trail of Corsola bits scattered in its wake.,"Those attacked by Toxapex’s poison will suffer intense pain for three days and three nights. Post-recovery, there will be some aftereffects.",Brutal Star Pokémon,0.5,Mareanie
749,749,Mudbray,Mudbray,Inner Focus,The mud stuck to Mudbray’s hooves enhances its grip and its powerful running gait.,"It has a stubborn, individualistic disposition. Eating dirt, making mud, and playing in the mire all form part of its daily routine.",Donkey Pokémon,0.5,
750,750,Mudsdale,Mudsdale,Inner Focus,"It spits a mud that provides resistance to both wind and rain, so the walls of old houses were often coated with it.","Its heavy, mud-covered kicks are its best means of attack, and it can reduce large trucks to scrap without breaking a sweat.",Draft Horse Pokémon,0.5,Mudbray
751,751,Dewpider,Dewpider,Water Absorb,It crawls onto the land in search of food. Its water bubble allows it to breathe and protects its soft head.,"When it comes across enemies or potential prey, this Pokémon smashes its water-bubble-covered head into them.",Water Bubble Pokémon,0.5,
752,752,Araquanid,Araquanid,Water Absorb,"It delivers headbutts with the water bubble on its head. Small Pokémon get sucked into the bubble, where they drown.","Despite what its appearance suggests, it cares for others. If it finds vulnerable, weak Pokémon, it protectively brings them into its water bubble.",Water Bubble Pokémon,0.5,Dewpider
753,753,Fomantis,Fomantis,Contrary,"During the day, it sleeps and soaks up light. When night falls, it walks around looking for a safer place to sleep.",They give off a sweet and refreshing scent. Cutiefly often gather near the tall grass where Fomantis are hiding.,Sickle Grass Pokémon,0.5,
754,754,Lurantis,Lurantis,Contrary,"It requires a lot of effort to maintain Lurantis’s vivid coloring, but some collectors enjoy this work and treat it as their hobby.",It fires beams from its sickle-shaped petals. These beams are powerful enough to cleave through thick metal plates.,Bloom Sickle Pokémon,0.5,Fomantis
755,755,Morelull,Morelull,Rain Dish,It scatters spores that flicker and glow. Anyone seeing these lights falls into a deep slumber.,"As it drowses the day away, it nourishes itself by sucking from tree roots. It wakens at the fall of night, wandering off in search of a new tree.",Illuminating Pokémon,0.5,
756,756,Shiinotic,Shiinotic,Rain Dish,Forests where Shiinotic live are treacherous to enter at night. People confused by its strange lights can never find their way home again.,"It emits flickering spores that cause drowsiness. When its prey succumb to sleep, this Pokémon feeds on them by sucking in their energy.",Illuminating Pokémon,0.5,Morelull
757,757,Salandit,Salandit,Oblivious,"It burns its bodily fluids to create a poisonous gas. When its enemies become disoriented from inhaling the gas, it attacks them.","Volcanoes or dry, craggy places are its home. It emanates a sweet-smelling poisonous gas that attracts bug Pokémon, then attacks them.",Toxic Lizard Pokémon,0.125,
758,758,Salazzle,Salazzle,Oblivious,"For some reason, only females have been found. It creates a reverse harem of male Salandit that it lives with.","Filled with pheromones, its poisonous gas can be diluted to use in the production of luscious perfumes.",Toxic Lizard Pokémon,1.0,Sandalit
759,759,Stufful,Stufful,Cute Charm,"Despite its adorable appearance, when it gets angry and flails about, its arms and legs could knock a pro wrestler sprawling.",A touch from anyone except a known friend sends it into a surging frenzy. It’s an incredibly dangerous Pokémon.,Flailing Pokémon,0.5,
760,760,Bewear,Bewear,Unnerve,This immensely dangerous Pokémon possesses overwhelming physical strength. Its habitat is generally off-limits.,This Pokémon has the habit of hugging its companions. Many Trainers have left this world after their spines were squashed by its hug.,Strong Arm Pokémon,0.5,Stufful
761,761,Bounsweet,Bounsweet,Sweet Veil,A delectable aroma pours from its body. They are often swallowed whole by Toucannon lured by that wafting deliciousness.,"Although it’s too sugary for human consumption, Bounsweet’s sweat can be watered down into a juice with just the right amount of sweetness.",Fruit Pokémon,1.0,
762,762,Steenee,Steenee,Sweet Veil,"The sepals on its head developed to protect its body. These are quite hard, so even if pecked by bird Pokémon, this Pokémon is totally fine.",This Pokémon is always bouncing around energetically. Other Pokémon are attracted by its lively appearance and pleasant aroma.,Fruit Pokémon,1.0,Bounsweet
763,763,Tsareena,Tsareena,Sweet Veil,"Its long, striking legs aren’t just for show but to be used to kick with skill. In victory, it shows off by kicking the defeated, laughing boisterously.","A Pokémon known for the beauty of its well-shaped legs, it sometimes appears as a mascot in advertisements for beauty salons.",Fruit Pokémon,1.0,Steenee
764,764,Comfey,Comfey,Natural Cure,"It attaches flowers to its highly nutritious vine. This revitalizes the flowers, and they give off an aromatic scent.","Baths prepared with the flowers from its vine have a relaxing effect, so this Pokémon is a hit with many people.",Posy Picker Pokémon,0.75,
765,765,Oranguru,Oranguru,Symbiosis,"Known for its extreme intelligence, this Pokémon will look down on inexperienced Trainers, so it’s best suited to veteran Trainers.","Deep in the jungle, high in the lofty canopy, this Pokémon abides. On rare occasions, it shows up at the beach to match wits with Slowking.",Sage Pokémon,0.5,
766,766,Passimian,Passimian,Defiant,They form groups of roughly 20 individuals. Their mutual bond is remarkable—they will never let down a comrade.,"They battle with hard berries for weapons. Their techniques are passed from the boss to the group, generation upon generation.",Teamwork Pokémon,0.5,
767,767,Wimpod,Wimpod,Wimp Out,"This Pokémon is a coward. As it desperately dashes off, the flailing of its many legs leaves a sparkling clean path in its wake.","Its habitat varies from beaches to seabeds. A natural scavenger, it will gleefully chow down on anything edible, no matter how rotten.",Turn Tail Pokémon,0.5,
768,768,Golisopod,Golisopod,Emergency Exit,"With a flashing slash of its giant sharp claws, it cleaves seawater—or even air—right in two.","It battles skillfully with its six arms, but spends most of its time peacefully meditating in caves deep beneath the sea.",Hard Scale Pokémon,0.5,Wimpod
769,769,Sandygast,Sandygast,Sand Veil,"Born from a sand mound playfully built by a child, this Pokémon embodies the grudges of the departed.",It takes control of anyone who puts a hand in its mouth. And so it adds to the accumulation of its sand-mound body.,Sand Heap Pokémon,0.5,
770,770,Palossand,Palossand,Sand Veil,"Possessed people controlled by this Pokémon transformed its sand mound into a castle. As it evolved, its power to curse grew ever stronger.",Buried beneath the castle are masses of dried-up bones from those whose vitality it has drained.,Sand Castle Pokémon,0.5,Sandygast
771,771,Pyukumuku,Pyukumuku,Unaware,"It lives in shallow seas, such as areas near a beach. It can eject its internal organs, which it uses to engulf its prey or battle enemies.",These Pokémon line the beaches. The sticky mucous that covers their bodies can be used to soothe sunburned skin. How convenient!,Sea Cucumber Pokémon,0.5,
772,772,Type: Null,Type: Null,Battle Armor,The heavy control mask it wears suppresses its intrinsic capabilities. This Pokémon has some hidden special power.,"Due to the danger that this synthetic Pokémon may go on a rampage, it wears a control mask to restrain its power.",Synthetic Pokémon,,
773,773,Silvally,Silvally (Type: Normal),RKS System,"Its trust in its partner is what awakens it. This Pokémon is capable of changing its type, a flexibility that is well displayed in battle.","Although its name was Type: Null at first, the boy who evolved it into this form gave it the name by which it is now known.",Synthetic Pokémon,,Type: Null
774,774,Minior,Minior (Meteor Form),Shields Down,"Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy.",Strong impacts can knock it out of its shell. This Pokémon was born from mutated nanoparticles.,Meteor Pokémon,,
775,775,Komala,Komala,Comatose,"It is born asleep, and it dies asleep. All its movements are apparently no more than the results of it tossing and turning in its dreams.",The log it holds was given to it by its parents at birth. It has also been known to cling to the arm of a friendly Trainer.,Drowsing Pokémon,0.5,
776,776,Turtonator,Turtonator,Shell Armor,The shell on its back is chemically unstable and explodes violently if struck. The hole in its stomach is its weak point.,It gushes fire and poisonous gases from its nostrils. Its dung is an explosive substance and can be put to various uses.,Blast Turtle Pokémon,0.5,
777,777,Togedemaru,Togedemaru,Sturdy,"The spiny fur on its back is normally at rest. When this Pokémon becomes agitated, its fur stands on end and stabs into its attackers.",The long hairs on its back act as lightning rods. The bolts of lightning it attracts are stored as energy in its electric sac.,Roly-Poly Pokémon,0.5,
778,778,Mimikyu,Mimikyu (Disguised Form),Disguise,Its actual appearance is unknown. A scholar who saw what was under its rag was overwhelmed by terror and died from the shock.,"A lonely Pokémon, it conceals its terrifying appearance beneath an old rag so it can get closer to people and other Pokémon.",Disguise Pokémon,0.5,
779,779,Bruxish,Bruxish,Wonder Skin,"When it unleashes its psychic power from the protuberance on its head, the grating sound of grinding teeth echoes through the area.",It stuns its prey with psychokinesis and then grinds them to mush with its strong teeth. Even Shellder’s shell is no match for it.,Gnash Teeth Pokémon,0.5,
780,780,Drampa,Drampa,Cloud Nine,"It has a compassionate personality, but if it is angered, it completely destroys its surroundings with its intense breath.",This Pokémon is friendly to people and loves children most of all. It comes from deep in the mountains to play with children it likes in town.,Placid Pokémon,0.5,
781,781,Dhelmise,Dhelmise,Steelworker,"Swinging its massive anchor, it can KO Wailord in a single blow. What appears to be green seaweed is actually its body.",The soul of seaweed adrift in the waves became reborn as this Pokémon. It maintains itself with new infusions of seabed detritus and seaweed.,Sea Creeper Pokémon,,
782,782,Jangmo-o,Jangmo-o,Overcoat,It expresses its feelings by smacking its scales. Metallic sounds echo through the tall mountains where Jangmo-o lives.,They live in mountains where no trace of humans can be detected. Jangmo-o grow little by little as they battle one another.,Scaly Pokémon,0.5,
783,783,Hakamo-o,Hakamo-o,Overcoat,It leaps at its prey with a courageous shout. Its scaly punches tear its opponents to shreds.,It sheds and regrows its scales on a continuous basis. The scales become harder and sharper each time they’re regrown.,Scaly Pokémon,0.5,Jangmo-o
784,784,Kommo-o,Kommo-o,Overcoat,"When it spots enemies, it threatens them by jingling the scales on its tail. Weak opponents will crack and flee in panic.","Its rigid scales function as offense and defense. In the past, its scales were processed and used to make weapons and other commodities.",Scaly Pokémon,0.5,Hakamo-o
785,785,Tapu Koko,Tapu Koko,Telepathy,This guardian deity of Melemele is brimming with curiosity. It summons thunderclouds and stores their lightning inside its body.,It confuses its enemies by flying too quickly for the eye to follow. It has a hair-trigger temper but forgets what made it angry an instant later.,Land Spirit Pokémon,,
786,786,Tapu Lele,Tapu Lele,Telepathy,This guardian deity of Akala is guilelessly cruel. The fragrant aroma of flowers is the source of its energy.,"As it flutters about, it scatters its strangely glowing scales. Touching them is said to restore good health on the spot.",Land Spirit Pokémon,,
787,787,Tapu Bulu,Tapu Bulu,Telepathy,"It pulls large trees up by the roots and swings them around. It causes vegetation to grow, and then it absorbs energy from the growth.",The guardian deity of Ula’ula is a lazy Pokémon. It commands plants to immobilize its foes and then deals them a savage blow with its horns.,Land Spirit Pokémon,,
788,788,Tapu Fini,Tapu Fini,Telepathy,The dense fog it creates brings the downfall and destruction of its confused enemies. Ocean currents are the source of its energy.,"The guardian deity of Poni, it can control water. People say it can create pure water that will wash away any uncleanness.",Land Spirit Pokémon,,
